node_id,incident_edge_feature_full_names,all_edge_feature_full_names
su_no:aryl_halide:C11,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C12,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C13,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C14,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C15,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C16,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:C17,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:N3,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:aryl_halide:N4,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:ligand:P1,CROSS_ROLE_METAL_COORDINATION,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:organoboron:B1,CROSS_ROLE_METAL_COORDINATION,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:organoboron:C1,CROSS_ROLE_FORMING_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:organoboron:C2,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
su_no:organoboron:C3,INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_SINGLE_BOND,NO_EDGE;INTRA_ROLE_COVALENT_SINGLE_BOND;INTRA_ROLE_COVALENT_DOUBLE_BOND;INTRA_ROLE_COVALENT_TRIPLE_BOND;INTRA_ROLE_COVALENT_AROMATIC_BOND;INTRA_ROLE_DATIVE_BOND;CROSS_ROLE_FORMING_BOND;CROSS_ROLE_BREAKING_BOND;CROSS_ROLE_METAL_COORDINATION;CROSS_ROLE_ACID_BASE_INTERACTION;CROSS_ROLE_ELECTRONIC_EFFECT;CROSS_ROLE_STERIC_EFFECT;CROSS_ROLE_SOLVENT_EFFECT;CROSS_ROLE_ADDITIVE_EFFECT;CROSS_ROLE_USER_DEFINED_RELATION
